########,邊界(70.0、60.0),區間檢測,結果,########
,(1) boundary±0.5,(2) boundary±1.0,(3) boundary±1.5,(4) boundary±2.0,(5) boundary±2.5,(6) boundary±3.0,(7) boundary±3.5,(8) boundary±4.0,(9) boundary±0.0
MAE,2565008.0129473694,2819687.8150096,2693704.1031871596,2374205.6417424683,2331596.259803156,2400415.377382246,2358462.097361434,2317455.028255216,2503842.971507863,
RMSE,2567053.174800404,3069514.3450597604,2907907.932571163,2450910.369729305,2390139.260310478,2487426.386374192,2419074.4387739003,2358910.533896031,2510298.750777023,
MAPE,3660593.7864612853,4045291.395811063,3864600.988132098,3629213.4461914105,3571418.874217337,3667408.495236825,3616790.2574655544,3560699.216317813,3542496.1131118857,
ME,2668757.481132047,6350099.944983899,6350099.944983899,6350099.944983899,6350099.944983899,6396525.789985222,6396525.789985222,6396525.789985222,2736426.204635966,
