########,邊界(70.0、60.0),區間檢測,結果,########
,(1) boundary±0.5,(2) boundary±1.0,(3) boundary±1.5,(4) boundary±2.0,(5) boundary±2.5,(6) boundary±3.0,(7) boundary±3.5,(8) boundary±4.0,(9) boundary±0.0
MAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[27.25854577],
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[27.29866442],
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[41.51157069],
ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.069064761357424,
