"FIELD_3","FIELD_4","FIELD_5","FIELD_12","FIELD_13","FIELD_14","FIELD_21","FIELD_22","FIELD_23","FIELD_30","FIELD_31","FIELD_32","FIELD_40"
"0.310000002","0.215000004","0.32100001","0.246999994","0.216999993","0.244000003","28.979000092","29.002000809","28.929000854","30.795999527","29.865999222","30.819999695","65.314027818"
"0.279000014","0.196999997","0.273000002","0.263000011","0.229000002","0.257999986","29","29.059999466","29.00399971","30.795000076","29.799999237","30.749000549","65.913276674"
"0.291999996","0.187000006","0.209999993","0.284000009","0.248999998","0.289000005","29.099000931","29.142000198","29.076000214","30.642999649","29.673999786","30.747999191","67.972204049"
"0.287999988","0.197999999","0.25","0.252999991","0.225999996","0.250999987","29.125999451","29.145999908","29.093000412","30.747999191","29.73500061","30.704000473","66.860845614"
"0.277999997","0.189999998","0.231999993","0.25999999","0.230000004","0.275000006","29.027000427","29.062000275","28.989999771","30.809000015","29.834999084","30.798000336","66.567917729"
"0.280999988","0.180999994","0.209999993","0.273000002","0.245000005","0.305999994","29.087999344","29.086999893","28.927999496","30.705999374","29.781999588","30.884000778","66.763369088"
"0.27700001","0.195999995","0.240999997","0.25999999","0.228","0.261000007","29.079999924","29.099000931","29.045999527","30.75799942","29.756000519","30.724000931","66.704032688"
"0.254000008","0.166999996","0.213","0.289000005","0.25999999","0.323000014","29.111999512","29.121999741","28.975000381","30.677000046","29.694000244","30.830999374","65.785524521"
"0.291000009","0.199000001","0.25999999","0.257999986","0.221000001","0.247999996","28.997999191","28.976999283","28.896999359","30.747999191","29.805000305","30.843000412","66.873392308"
"0.286000013","0.193000004","0.247999996","0.257999986","0.230000004","0.273999989","29.054000854","29.055000305","28.976999283","30.714000702","29.73900032","30.7689991","66.262592827"
"0.289000005","0.202999994","0.254999995","0.246000007","0.222000003","0.277999997","29.004999161","29.006000519","28.885000229","30.805000305","29.877000809","30.900999069","65.632284584"
"0.252999991","0.172999993","0.217999995","0.284999996","0.25","0.31099999","29.090000153","29.142999649","29.041999817","30.686000824","29.673000336","30.724000931","65.851677968"
"0.270999998","0.181999996","0.230000004","0.275999993","0.246000007","0.303000003","29.034000397","29.017000198","28.87100029","30.73900032","29.794000626","30.858999252","66.003978274"
"0.291000009","0.187000006","0.238000005","0.272000015","0.246000007","0.298000008","28.99600029","29.010000229","28.906999588","30.752000809","29.784999847","30.854000092","66.393603412"
"0.273000002","0.187000006","0.237000003","0.268999994","0.239999995","0.291000009","29.061000824","29.049999237","28.920999527","30.75","29.791000366","30.843999863","66.010019523"
"0.296999991","0.202000007","0.256999999","0.257999986","0.224000007","0.268999994","29.020999908","29.055999756","28.98800087","30.774000168","29.798999786","30.784000397","66.469807108"
"0.296999991","0.203999996","0.284999996","0.25","0.224000007","0.252999991","29.027999878","29.023000717","28.945999146","30.733999252","29.778999329","30.802999496","65.845340501"
"0.263000011","0.173999995","0.215000004","0.286000013","0.268000007","0.349999994","29.045000076","29.024000168","28.877000809","30.672000885","29.722000122","30.895999908","65.084833727"
"0.294999987","0.196999997","0.272000015","0.257999986","0.224999994","0.268999994","28.937000275","28.940999985","28.851999283","30.808000565","29.86300087","30.891000748","65.928758805"
"0.289000005","0.193000004","0.254999995","0.270999998","0.236000001","0.273999989","29.031000137","29.077999115","29.006000519","30.729999542","29.75799942","30.767000198","66.525033514"
"0.280000001","0.187999994","0.268999994","0.257999986","0.228","0.25999999","28.945999146","28.982999802","28.906999588","30.815999985","29.854000092","30.851999283","65.846257703"
"0.319999993","0.217999995","0.296000004","0.246999994","0.214000002","0.241999999","28.974000931","28.975000381","28.920000076","30.771999359","29.840999603","30.809000015","66.448926008"
"0.287","0.195999995","0.254000008","0.272000015","0.25","0.277999997","28.966999054","28.98900032","28.902000427","30.733999252","29.76499939","30.840999603","66.405985972"
"0.280999988","0.194999993","0.256999999","0.275000006","0.238999993","0.282999992","28.978000641","28.99600029","28.902999878","30.74600029","29.819999695","30.841999054","66.058823611"
"0.324000001","0.197999999","0.268000007","0.272000015","0.222000003","0.26699999","28.954000473","28.990999222","28.920000076","30.754999161","29.822999954","30.816999435","67.390071488"
"0.277999997","0.187999994","0.239999995","0.282000005","0.246999994","0.305999994","28.979999542","28.965999603","28.826000214","30.759000778","29.837999344","30.951000214","65.991564328"
"0.250999987","0.171000004","0.223000005","0.31099999","0.270000011","0.324000001","28.993000031","28.943000793","28.728000641","30.743999481","29.875999451","31.093000412","66.023870103"
"0.250999987","0.179000005","0.214000002","0.300999999","0.272000015","0.326000005","29.170000076","29.000999451","28.746999741","30.952999115","29.850000381","30.954999924","65.95009661"
"0.298999995","0.204999998","0.256000012","0.244000003","0.228","0.273999989","28.975999832","28.990999222","28.927999496","30.777000427","29.794000626","30.805000305","65.980743584"
"0.289999992","0.194000006","0.252999991","0.268999994","0.238999993","0.287999988","28.948999405","28.979000092","28.896999359","30.766000748","29.798999786","30.819999695","66.116764744"
"0.280000001","0.201000005","0.287","0.26699999","0.238000005","0.280999988","29.002000809","28.969999313","28.850999832","30.726999283","29.794000626","30.8560009","64.929858508"
"0.280999988","0.189999998","0.245000005","0.275000006","0.237000003","0.300000012","28.968999863","28.99600029","28.902000427","30.729000092","29.791000366","30.840999603","65.897250614"
"0.287","0.197999999","0.268000007","0.261000007","0.233999997","0.275000006","28.943000793","28.937000275","28.830999374","30.784000397","29.853000641","30.8939991","65.721601941"
"0.287","0.187999994","0.25","0.261999995","0.239999995","0.287","28.98800087","29.047000885","28.982000351","30.73800087","29.771999359","30.773000717","65.937912638"
"0.293000013","0.209999993","0.266000003","0.254999995","0.224999994","0.263999999","28.938999176","28.966999054","28.917999268","30.788000107","29.843000412","30.830999374","66.134170716"
"0.291999996","0.194999993","0.25","0.270000011","0.239999995","0.319999993","28.933000565","28.881000519","28.732000351","30.763000488","29.864999771","30.989999771","65.315252468"
"0.275999993","0.187999994","0.244000003","0.275999993","0.246999994","0.296000004","28.986000061","28.996999741","28.881000519","30.7310009","29.770000458","30.841999054","65.939095636"
"0.286000013","0.191","0.239999995","0.268000007","0.246000007","0.31400001","28.961000443","28.951999664","28.801000595","30.736999512","29.820999146","30.938999176","65.565696243"
"0.300000012","0.210999995","0.273999989","0.256000012","0.219999999","0.25999999","29.020999908","29.077999115","29.075000763","30.711000443","29.704000473","30.663000107","66.246549695"
"0.300000012","0.202000007","0.254999995","0.248999998","0.231000006","0.289000005","28.938999176","28.982999802","28.929000854","30.774999619","29.822000504","30.812000275","65.721494421"
"0.277999997","0.186000004","0.238000005","0.294","0.257999986","0.300000012","28.999000549","29.031000137","28.920999527","30.687999725","29.74600029","30.849000931","66.599741963"
"0.273999989","0.189999998","0.247999996","0.273999989","0.241999999","0.291999996","29.025999069","29.063999176","28.971000671","30.708000183","29.743000031","30.763000488","65.815789067"
"0.31099999","0.209000006","0.270999998","0.259000003","0.229000002","0.273000002","28.954000473","28.978000641","28.943000793","30.736999512","29.763999939","30.770000458","66.351803924"
"0.289999992","0.200000003","0.261000007","0.266000003","0.231999993","0.273999989","28.965999603","28.940000534","28.839000702","30.733999252","29.827999115","30.902000427","66.215364352"
"0.263000011","0.180999994","0.238000005","0.284999996","0.25999999","0.328000009","29.0189991","29.063999176","28.938999176","30.712999344","29.747999191","30.836000443","65.023150904"
"0.300999999","0.193000004","0.244000003","0.263999999","0.238999993","0.293000013","28.958999634","28.98800087","28.909999847","30.753000259","29.798999786","30.829000473","66.421120694"
"0.296999991","0.200000003","0.280000001","0.264999986","0.226999998","0.279000014","29.062000275","29.089000702","29.030000687","30.687000275","29.708999634","30.680999756","65.64276369"
"0.289000005","0.199000001","0.261999995","0.275000006","0.239999995","0.294","28.931999207","28.913999557","28.811000824","30.767000198","29.832000732","30.917999268","65.804362253"
"0.294","0.209000006","0.280999988","0.247999996","0.223000005","0.25999999","28.88599968","28.899999619","28.8560009","30.799999237","29.86000061","30.864999771","65.601320678"
"0.275000006","0.187999994","0.254000008","0.277999997","0.243000001","0.294999987","28.990999222","28.999000549","28.888999939","30.732000351","29.808000565","30.850000381","65.684931751"
"0.298999995","0.204999998","0.270000011","0.240999997","0.222000003","0.264999986","28.895999908","28.920000076","28.874000549","30.799999237","29.854999542","30.875","65.725033146"
"0.317000002","0.219999999","0.275999993","0.250999987","0.213","0.226999998","29.041000366","29.077999115","29.100000381","30.669000626","29.673000336","30.61700058","67.607047833"
"0.264999986","0.188999996","0.229000002","0.263000011","0.231000006","0.264999986","29.052999496","29.062000275","28.961999893","30.740999222","29.781999588","30.788999557","66.690707672"
"0.273000002","0.187999994","0.250999987","0.25999999","0.226999998","0.268000007","29.027000427","29.040000916","28.979000092","30.756000519","29.770000458","30.767999649","66.014314887"
"0.280000001","0.189999998","0.256999999","0.246000007","0.221000001","0.261000007","29.048000336","29.063999176","28.995000839","30.760000229","29.774999619","30.74200058","65.82336773"
"0.287999988","0.202000007","0.261000007","0.254999995","0.224999994","0.25999999","29.052000046","29.042999268","28.968000412","30.749000549","29.788999557","30.795999527","66.266263796"
"0.284000009","0.199000001","0.256000012","0.263999999","0.231999993","0.268000007","29.038999557","28.999000549","28.885000229","30.708000183","29.767999649","30.864999771","66.32401826"
"0.287","0.204999998","0.256999999","0.248999998","0.223000005","0.25999999","28.990999222","28.974000931","28.868999481","30.770000458","29.843999863","30.875999451","66.180959099"
"0.289999992","0.200000003","0.268999994","0.25","0.223000005","0.259000003","29.030000687","29.077999115","29.041000366","30.729000092","29.74200058","30.702999115","65.945673884"
"0.296000004","0.209000006","0.280000001","0.243000001","0.226999998","0.257999986","29.020000458","29.045999527","29.002000809","30.729999542","29.75799942","30.729000092","65.607403045"
"0.289000005","0.206","0.268999994","0.25","0.222000003","0.263999999","28.968000412","28.968000412","28.868999481","30.797000885","29.865999222","30.875","65.758667052"
"0.250999987","0.174999997","0.224999994","0.287999988","0.254000008","0.31400001","29.079999924","29.084999084","28.915000916","30.704000473","29.771999359","30.888000488","65.569342149"
"0.289000005","0.210999995","0.284999996","0.25","0.224999994","0.261000007","29.070999146","29.066999435","28.997999191","30.708999634","29.745000839","30.740999222","65.357001981"
"0.277999997","0.196999997","0.246999994","0.282000005","0.252000004","0.310000002","28.9810009","28.983999252","28.86300087","30.747999191","29.798999786","30.877000809","65.663474002"
"0.282000005","0.193000004","0.254999995","0.268000007","0.236000001","0.287","29.010000229","29.025999069","28.959999084","30.732000351","29.753000259","30.792999268","65.811308851"
"0.289999992","0.202000007","0.268000007","0.25999999","0.230000004","0.26699999","28.950000763","28.965999603","28.916000366","30.791999817","29.815000534","30.812999725","66.034277759"
"0.277999997","0.186000004","0.254000008","0.275000006","0.241999999","0.286000013","29.034999847","29.031999588","28.899999619","30.743000031","29.805000305","30.854000092","65.964496461"
"0.275000006","0.182999998","0.230000004","0.287","0.25999999","0.337000012","29.006999969","29.030000687","28.870000839","30.76199913","29.805000305","30.874000549","65.414121817"
"0.270999998","0.186000004","0.233999997","0.279000014","0.239999995","0.298000008","29.000999451","29.037000656","28.917999268","30.763000488","29.809999466","30.830999374","66.12599489"
"0.282000005","0.194999993","0.261000007","0.25999999","0.237000003","0.287999988","28.986000061","28.968000412","28.834999084","30.775999069","29.847999573","30.906000137","65.351280388"
"0.277999997","0.192000002","0.248999998","0.280999988","0.25","0.301999986","29.000999451","28.975000381","28.823999405","30.726999283","29.802999496","30.933000565","65.811855727"
"0.279000014","0.189999998","0.25","0.266000003","0.244000003","0.296000004","29.024999619","29.013000488","28.846000671","30.763999939","29.841999054","30.908000946","65.538361046"
"0.270000011","0.186000004","0.245000005","0.284999996","0.252000004","0.305999994","29.030000687","29.027999878","28.899999619","30.705999374","29.756999969","30.872999191","65.689119422"
"0.287999988","0.203999996","0.273999989","0.256999999","0.225999996","0.256000012","28.972000122","29.00399971","28.972999573","30.746999741","29.760000229","30.753000259","66.039866666"
"0.26699999","0.188999996","0.254000008","0.268999994","0.243000001","0.284000009","29.020000458","29.002000809","28.846000671","30.743999481","29.826999664","30.912000656","65.51128712"
"0.289000005","0.202999994","0.261000007","0.254999995","0.228","0.268000007","28.979999542","28.983999252","28.905000687","30.753000259","29.797000885","30.833000183","66.041887838"
"0.279000014","0.199000001","0.254999995","0.259000003","0.231999993","0.273999989","28.945999146","28.934000015","28.809000015","30.781000137","29.875999451","30.948999405","65.857811448"
"0.291000009","0.187000006","0.238000005","0.275000006","0.247999996","0.319999993","28.989999771","29.010000229","28.905000687","30.728000641","29.771999359","30.830999374","65.79923076"
"0.294","0.199000001","0.268999994","0.270000011","0.232999995","0.275999993","28.979999542","28.964000702","28.86000061","30.740999222","29.823999405","30.87899971","66.140169441"
"0.286000013","0.194000006","0.244000003","0.264999986","0.236000001","0.294","28.959999084","29.000999451","28.909000397","30.774999619","29.825000763","30.829999924","65.96840016"
"0.296999991","0.211999997","0.280999988","0.241999999","0.216999993","0.256000012","28.952999115","29.013000488","29.024000168","30.773000717","29.756999969","30.700000763","65.632557796"
"0.282000005","0.181999996","0.228","0.280000001","0.25999999","0.330000013","29.028999329","29.061000824","28.933000565","30.681999207","29.726999283","30.825000763","65.686299392"
"0.289000005","0.208000004","0.277999997","0.252999991","0.224000007","0.264999986","28.906000137","28.871999741","28.746999741","30.781999588","29.902999878","30.989999771","65.53856337"
"0.282999992","0.192000002","0.247999996","0.266000003","0.236000001","0.298999995","28.968999863","28.974000931","28.881000519","30.743000031","29.802000046","30.836999893","65.623359714"
"0.282999992","0.187999994","0.254999995","0.273999989","0.239999995","0.291000009","28.957000732","28.968000412","28.892000198","30.725999832","29.775999069","30.843000412","65.89679879"
"0.326999992","0.218999997","0.30399999","0.234999999","0.211999997","0.243000001","28.978000641","28.964000702","28.916999817","30.756999969","29.804000854","30.812000275","66.017532494"
"0.296999991","0.199000001","0.261000007","0.257999986","0.229000002","0.282000005","29.003000259","29.065999985","29.034999847","30.715999603","29.724000931","30.687999725","65.930536274"
"0.254999995","0.178000003","0.234999999","0.294999987","0.261000007","0.31400001","28.964000702","28.913999557","28.676000595","30.740999222","29.88299942","31.099000931","65.601429593"
"0.291999996","0.200000003","0.257999986","0.25999999","0.228","0.273000002","28.964000702","29.017000198","28.974000931","30.736999512","29.75799942","30.739999771","66.219721994"
"0.293000013","0.202000007","0.270999998","0.247999996","0.223000005","0.273999989","28.98900032","29.024999619","28.966999054","30.76199913","29.792999268","30.784999847","65.438121139"
"0.291999996","0.202000007","0.270999998","0.243000001","0.222000003","0.268999994","28.923999786","28.930000305","28.86300087","30.802999496","29.88599968","30.877000809","65.408939456"
"0.268999994","0.185000002","0.241999999","0.289000005","0.261000007","0.323000014","29.00799942","29.00799942","28.908000946","30.666999817","29.707000732","30.833000183","65.358826861"
"0.277999997","0.194999993","0.259000003","0.273999989","0.241999999","0.291999996","29.000999451","29.030000687","28.931999207","30.724000931","29.750999451","30.783000946","65.598051553"
"0.286000013","0.194000006","0.264999986","0.268000007","0.239999995","0.280000001","28.930000305","28.915000916","28.774000168","30.791000366","29.885000229","30.961000443","65.842140608"
"0.273999989","0.186000004","0.263000011","0.263999999","0.233999997","0.280999988","28.98800087","29.023000717","28.930000305","30.739999771","29.783000946","30.809000015","65.371504285"
"0.273999989","0.187999994","0.241999999","0.27700001","0.250999987","0.317999989","28.938999176","28.944000244","28.805000305","30.763999939","29.847000122","30.951000214","65.293548719"
"0.277999997","0.193000004","0.252999991","0.268000007","0.246000007","0.300999999","28.934999466","28.950000763","28.850999832","30.767000198","29.815999985","30.874000549","65.326186263"
"0.289000005","0.196999997","0.252999991","0.256000012","0.246000007","0.317000002","28.961999893","28.937999725","28.805000305","30.722999573","29.805000305","30.906999588","64.814506502"
"0.286000013","0.194999993","0.272000015","0.268999994","0.231999993","0.277999997","28.943000793","28.968999863","28.875","30.791000366","29.847000122","30.870000839","65.710835342"
"0.286000013","0.204999998","0.293000013","0.261000007","0.229000002","0.264999986","28.997999191","29.00799942","28.957000732","30.701999664","29.75","30.766000748","65.228070857"
"0.312999994","0.202000007","0.264999986","0.25999999","0.229000002","0.282999992","28.892000198","28.919000626","28.861999512","30.798999786","29.851999283","30.87100029","66.312500217"
"0.287999988","0.193000004","0.246000007","0.263000011","0.245000005","0.326999992","28.979999542","28.982999802","28.8560009","30.76499939","29.826000214","30.895999908","64.898847646"
"0.275999993","0.199000001","0.270999998","0.268999994","0.237000003","0.279000014","28.930999756","28.884000778","28.76499939","30.733999252","29.836000443","30.964000702","65.416067166"
"0.273000002","0.188999996","0.241999999","0.287","0.252999991","0.316000015","28.930000305","28.941999435","28.806999207","30.726999283","29.805999756","30.917999268","65.626922732"
"0.27700001","0.189999998","0.256999999","0.263999999","0.234999999","0.294999987","28.965000153","29.006999969","28.903999329","30.75","29.808000565","30.846000671","65.21936828"
"0.273000002","0.188999996","0.238999993","0.27700001","0.243000001","0.310000002","28.929000854","28.917999268","28.798000336","30.783000946","29.857999802","30.945999146","65.595036438"
"0.272000015","0.189999998","0.238999993","0.279000014","0.248999998","0.300999999","28.964000702","28.972000122","28.816999435","30.715999603","29.806999207","30.917999268","65.911765833"
"0.254999995","0.180000007","0.230000004","0.289000005","0.252999991","0.326000005","29.079000473","29.162000656","29.091999054","30.597000122","29.620000839","30.673000336","65.196999056"
"0.286000013","0.193000004","0.252999991","0.25999999","0.243000001","0.293000013","28.972999573","29.000999451","28.906999588","30.722000122","29.766000748","30.816999435","65.57068063"
"0.294","0.203999996","0.263999999","0.270000011","0.229000002","0.296000004","28.917999268","28.927000046","28.843999863","30.747999191","29.822000504","30.88699913","65.676943076"
"0.286000013","0.199000001","0.266000003","0.263999999","0.231000006","0.280999988","28.993999481","29.048000336","28.959999084","30.732000351","29.767000198","30.777000427","65.655534377"
"0.270000011","0.189999998","0.241999999","0.268000007","0.246000007","0.300000012","29.023000717","29.079000473","29.000999451","30.656000137","29.683000565","30.724000931","65.451187542"
"0.254999995","0.180000007","0.244000003","0.270000011","0.240999997","0.305999994","28.952999115","28.958999634","28.801000595","30.73800087","29.833000183","30.954000473","64.777406704"
"0.294","0.206","0.268999994","0.256000012","0.226999998","0.280999988","28.990999222","29.031999588","28.975000381","30.722000122","29.763999939","30.736999512","65.564906329"
"0.26699999","0.181999996","0.236000001","0.282999992","0.257999986","0.328999996","28.878000259","28.895999908","28.753000259","30.809999466","29.888000488","31.017000198","65.112539705"
"0.282999992","0.189999998","0.221000001","0.282000005","0.25","0.268999994","29.090999603","29.125999451","29.055999756","30.690999985","29.724000931","30.753000259","67.946488405"
"0.263999999","0.180000007","0.209999993","0.270999998","0.25","0.312999994","29.075000763","29.045999527","28.895000458","30.74600029","29.798000336","30.917999268","65.95698956"
"0.282000005","0.185000002","0.236000001","0.252999991","0.230000004","0.270000011","29.096000671","29.124000549","29.013999939","30.707000732","29.743999481","30.770999908","66.506180804"
"0.294","0.206","0.282999992","0.241999999","0.223000005","0.256000012","28.968000412","29.003000259","28.950000763","30.777999878","29.813999176","30.770000458","65.476728538"
"0.247999996","0.181999996","0.237000003","0.261000007","0.237000003","0.277999997","29.099000931","29.086999893","28.962999344","30.704000473","29.756000519","30.830999374","65.385308473"
"0.268000007","0.189999998","0.238000005","0.261000007","0.236000001","0.284000009","29.000999451","28.965000153","28.820999146","30.797000885","29.86400032","30.965999603","65.799593732"
"0.275000006","0.187999994","0.231000006","0.261999995","0.240999997","0.321999997","28.98900032","28.951999664","28.784999847","30.784000397","29.875999451","30.999000549","65.069782658"
"0.26699999","0.187999994","0.238000005","0.268000007","0.238000005","0.284000009","29.037000656","29.013000488","28.874000549","30.75399971","29.822000504","30.909999847","65.986513233"
"0.270999998","0.182999998","0.238000005","0.261999995","0.232999995","0.284999996","29.034000397","29.009000778","28.861000061","30.756999969","29.833000183","30.899999619","65.884510564"
"0.298000008","0.199000001","0.275000006","0.252999991","0.223000005","0.248999998","28.986000061","29.00799942","28.954999924","30.791000366","29.827999115","30.790000916","66.411489492"
"0.291999996","0.196999997","0.261000007","0.259000003","0.224999994","0.268000007","28.9810009","28.979000092","28.879999161","30.792999268","29.853000641","30.871999741","66.250332404"
"0.273999989","0.187999994","0.240999997","0.266000003","0.237000003","0.291999996","28.995000839","28.944000244","28.7689991","30.788999557","29.902000427","30.98800087","65.787049383"
"0.273000002","0.193000004","0.247999996","0.268999994","0.238999993","0.280999988","29.01099968","28.976999283","28.809000015","30.766000748","29.877000809","30.979000092","65.981370961"
